order_id,product_id,quantity,order_date,region
1,P8,4,21-05-2023,Central
2,P7,,12-12-2023,South
2,P15,5,02-05-2023,North
3,P5,4,03-07-2023,West
3,P13,2,07-10-2023,South
4,P2,2,25-09-2023,South
5,P2,1,30-04-2023,Central
5,P4,5,21-12-2023,East
6,P10,4,02-04-2023,East
7,P3,4,13-11-2023,East
8,P13,1,19-07-2023,North
8,P3,3,15-02-2023,West
9,P14,5,14-02-2023,West
9,P3,3,11-02-2023,East
10,P14,3,09-04-2023,South
10,P8,2,18-01-2023,Central
11,P4,1,25-05-2023,South
11,P7,2,29-07-2023,North
12,P4,3,25-01-2023,East
12,P14,5,05-12-2023,East
13,P1,4,21-11-2023,South
13,P15,5,14-04-2023,South
14,P3,5,15-10-2023,South
15,P12,4,14-02-2023,East
16,P15,3,15-09-2023,East
17,P12,3,13-05-2023,East
18,P13,1,16-05-2023,Central
18,P5,3,23-04-2023,West
19,P4,2,12-09-2023,South
20,P3,1,14-01-2023,South
20,P1,5,19-06-2023,South
21,P6,3,11-12-2023,West
21,P5,1,22-11-2023,North
22,P3,5,22-12-2023,East
22,P3,3,30-03-2023,West
23,P10,4,10-09-2023,West
24,P5,1,10-06-2023,West
24,P14,,10-03-2023,Central
25,P15,2,02-08-2023,North
25,P10,3,21-06-2023,North
26,P6,1,13-12-2023,South
27,P8,1,07-11-2023,West
27,P1,1,29-12-2023,East
28,P12,4,27-07-2023,East
28,P9,2,21-02-2023,East
29,P8,2,15-03-2023,East
30,P7,,24-06-2023,West
31,P8,4,19-10-2023,Central
32,P14,3,08-03-2023,South
33,P8,,16-05-2023,Central
34,P8,2,14-10-2023,East
35,P12,5,25-03-2023,South
36,P14,1,21-08-2023,North
37,P11,,03-01-2023,East
37,P5,5,25-09-2023,North
38,P3,1,16-07-2023,North
38,P13,2,26-10-2023,West
39,P3,2,26-08-2023,South
39,P8,4,21-04-2023,North
40,P9,5,06-10-2023,Central
41,P5,,13-05-2023,Central
41,P1,1,03-04-2023,Central
42,P2,2,26-09-2023,South
43,P7,3,15-06-2023,West
44,P7,4,19-03-2023,West
44,P5,2,25-02-2023,North
45,P7,4,13-05-2023,Central
46,P1,2,19-03-2023,East
46,P6,3,05-05-2023,North
47,P11,,11-07-2023,North
48,P15,5,01-12-2023,North
48,P3,4,18-04-2023,West
49,P7,5,08-09-2023,South
50,P6,4,10-06-2023,South
51,P3,3,06-02-2023,North
51,P7,5,21-11-2023,Central
52,P6,2,25-10-2023,West
52,P8,5,03-09-2023,South
53,P6,2,21-12-2023,Central
54,P15,4,05-04-2023,North
55,P4,2,22-04-2023,Central
55,P14,1,15-01-2023,East
56,P4,1,18-05-2023,East
57,P15,3,22-01-2023,South
57,P2,2,23-04-2023,South
58,P8,5,19-03-2023,South
58,P15,5,06-10-2023,North
59,P7,2,23-08-2023,West
60,P14,3,18-05-2023,West
61,P4,1,25-02-2023,West
62,P10,4,08-10-2023,East
62,P10,2,05-08-2023,North
63,P8,3,30-12-2023,Central
64,P11,1,07-12-2023,East
64,P6,1,04-07-2023,South
65,P5,1,20-11-2023,West
66,P11,3,21-10-2023,North
66,P14,3,13-03-2023,East
67,P5,5,24-06-2023,South
67,P8,2,05-03-2023,Central
68,P9,1,01-09-2023,West
68,P7,,18-06-2023,West
69,P6,5,13-12-2023,South
70,P11,3,07-12-2023,Central
70,P7,5,16-06-2023,West
71,P14,4,25-10-2023,South
72,P3,1,02-05-2023,East
73,P4,5,13-06-2023,South
74,P4,2,01-09-2023,East
75,P14,3,08-04-2023,East
75,P2,5,06-04-2023,North
76,P12,5,09-09-2023,South
76,P4,2,09-03-2023,East
77,P12,1,27-05-2023,East
77,P4,2,03-06-2023,West
78,P7,3,14-08-2023,West
79,P8,2,22-11-2023,South
79,P7,1,27-07-2023,North
80,P15,5,04-11-2023,West
80,P6,1,28-02-2023,East
81,P8,5,10-07-2023,West
82,P5,5,13-07-2023,North
83,P2,5,01-09-2023,West
83,P6,2,04-01-2023,Central
84,P10,2,12-06-2023,West
84,P3,3,30-03-2023,North
85,P15,3,06-04-2023,West
86,P15,4,05-01-2023,South
87,P8,1,14-07-2023,Central
88,P2,5,06-08-2023,South
88,P2,5,12-04-2023,Central
89,P13,3,16-10-2023,North
90,P7,3,11-10-2023,West
90,P5,1,15-02-2023,West
91,P3,,01-11-2023,East
91,P11,4,04-07-2023,North
92,P13,2,21-07-2023,West
93,P1,,13-04-2023,Central
94,P7,2,20-07-2023,South
95,P7,5,04-02-2023,East
95,P9,2,28-05-2023,West
96,P1,1,02-05-2023,North
97,P9,1,20-12-2023,South
98,P7,2,05-05-2023,East
99,P11,4,30-09-2023,Central
100,P10,3,07-03-2023,Central
101,P3,3,09-01-2023,East
102,P11,,05-07-2023,Central
103,P11,,08-12-2023,South
103,P2,3,24-11-2023,South
104,P6,1,24-12-2023,Central
105,P8,,14-04-2023,West
106,P13,4,06-11-2023,South
106,P12,1,03-11-2023,West
107,P14,3,02-09-2023,Central
108,P7,4,02-09-2023,East
109,P6,1,16-11-2023,East
110,P9,2,07-09-2023,North
110,P5,4,03-10-2023,Central
111,P13,2,26-04-2023,North
112,P5,5,19-02-2023,Central
112,P14,2,15-07-2023,West
113,P10,1,05-03-2023,West
113,P3,5,26-08-2023,West
114,P9,2,08-07-2023,North
114,P9,4,07-01-2023,South
115,P15,1,29-08-2023,Central
115,P11,1,15-08-2023,South
116,P9,2,12-06-2023,North
117,P14,1,29-10-2023,North
117,P10,4,20-12-2023,North
118,P12,4,23-11-2023,South
119,P5,1,03-03-2023,West
120,P11,1,03-11-2023,East
121,P6,2,02-06-2023,North
121,P4,3,18-02-2023,Central
122,P5,4,06-11-2023,South
122,P3,1,30-01-2023,South
123,P10,4,28-09-2023,South
124,P13,5,09-03-2023,Central
125,P11,2,04-03-2023,South
126,P10,1,25-04-2023,South
127,P7,2,17-05-2023,South
127,P15,2,23-12-2023,North
128,P6,,24-11-2023,Central
129,P10,3,28-03-2023,Central
130,P14,3,18-03-2023,East
130,P5,5,02-08-2023,West
131,P11,3,01-10-2023,Central
131,P15,4,23-12-2023,South
132,P15,3,15-07-2023,North
133,P14,1,17-10-2023,North
134,P15,3,05-02-2023,South
134,P6,5,23-03-2023,South
135,P13,,21-10-2023,Central
135,P15,1,16-05-2023,North
136,P5,,11-01-2023,North
136,P15,3,19-11-2023,East
137,P9,5,29-09-2023,North
137,P7,,03-08-2023,South
138,P10,1,19-01-2023,Central
138,P4,4,02-09-2023,Central
139,P4,2,27-07-2023,Central
140,P3,2,02-04-2023,East
141,P12,3,31-10-2023,North
142,P8,3,19-12-2023,East
142,P13,2,20-08-2023,Central
143,P9,1,25-06-2023,West
143,P2,5,06-07-2023,West
144,P10,4,03-06-2023,South
145,P2,4,15-01-2023,North
146,P9,1,01-04-2023,East
